it,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,RTO,Engine Displacement,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Color,Engine Type,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,Alloy Wheel Size,city,Features Count
0,Hatchback,24887.0,Automatic,1,Hyundai,Hyundai Grand i10,2019,5606,1.2 Kappa Sportz Option AT,682000.0,2019,Third Party,Petrol,5.0,KA51,1197.0,15.0,9.0,11.0,24.0,7.0,18.9,81.86,113.75,Orange,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3765.0,1660.0,1520.0,2425.0,1479.0,1493.0,1200.0,4.0,Front-Wheel Drive,Power,4.8,Disc,Drum,165.0,12.9,Tubeless,5.0,256.0,14.0,14.0,bangalore,9
0,Hatchback,23000.0,Automatic,1,Honda,Honda Jazz,2018,6506,VX CVT,825000.0,2018,Comprehensive,Petrol,5.0,KA03,1199.0,21.0,13.0,13.0,25.0,9.0,18.2,88.7,110.0,Grey,i-VTEC Petrol Engine,4.0,4.0,SOHC,PGM-FI,No,No,3955.0,1694.0,1544.0,2530.0,1458.0,1459.0,1066.0,5.0,Front-Wheel Drive,Power,5.1,Disc,Drum,172.0,13.7,"Tubeless, Radial",5.0,354.0,15.0,15.0,bangalore,9
0,Hatchback,48928.0,Automatic,1,Tata,Tata Tiago,2018,5653,1.2 Revotron XZA,595000.0,2018,Comprehensive,Petrol,5.0,KA03,1199.0,17.0,11.0,13.0,24.0,8.0,23.84,83.83,114.0,Red,Revotron Engine,3.0,4.0,DOHC,MPFI,No,No,3746.0,1647.0,1535.0,2400.0,1400.0,1420.0,1012.0,5.0,Front-Wheel Drive,Power,4.9,Disc,Drum,150.0,14.3,Tubeless,5.0,242.0,14.0,14.0,bangalore,9
0,SUV,108862.0,Manual,3,Mahindra,Mahindra XUV500,2014,3822,W6 2WD,690000.0,2014,Comprehensive,Diesel,7.0,KA01,2179.0,17.0,10.0,11.0,20.0,4.0,15.1,140.0,330.0,Silver,mHawk Diesel Engine,4.0,4.0,DOHC,Direct Injection,Yes,No,4585.0,1890.0,1785.0,2700.0,1458.0,1459.0,1900.0,6.0,Front-Wheel Drive,Power,5.6,Disc,Disc & Caliper Type,175.0,12.5,"Tubeless, Radial",5.0,720.0,17.0,17.0,bangalore,9
0,SUV,80000.0,Manual,1,Jeep,Jeep Compass,2018,5929,2.0 Limited,1350000.0,2018,Third Party,Diesel,5.0,OD02,1956.0,14.0,12.0,16.0,23.0,8.0,17.1,170.0,350.0,Others,2.0-Litre 4-Cyl Multijet II Engine,4.0,4.0,DOHC,CRDI,Yes,No,4395.0,1818.0,1640.0,2636.0,1458.0,1459.0,1562.0,6.0,Four-Wheel Drive,Power,5.5,Disc,Disc,186.69,9.99,"Radial, Tubeless",5.0,408.0,17.0,17.0,bangalore,9
0,SUV,16000.0,Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,2022,8437,220d 4M BSVI,5595000.0,2022,Comprehensive,Diesel,5.0,KA01,1950.0,26.0,15.0,23.0,33.0,12.0,19.23,187.74,400.0,Blue,Unknown,4.0,4.0,DOHC,Direct Injection,Yes,No,4436.0,2020.0,1611.0,2729.0,1617.0,1596.0,1675.0,8.0,All-Wheel Drive,Power,5.92,Disc,Disc,219.0,7.3,"Tubeless, Radial",5.0,421.0,19.0,19.0,bangalore,9
0,Hatchback,65376.0,Manual,2,Hyundai,Hyundai i20,2014,1657,Asta 1.4 CRDi,521000.0,2014,Comprehensive,Diesel,5.0,KA41,1396.0,11.0,11.0,13.0,20.0,4.0,21.27,88.76,219.6,Blue,U2 CRDI Diesel Engine,4.0,4.0,DOHC,CRDI,No,No,3995.0,1710.0,1505.0,2525.0,1505.0,1503.0,1120.0,6.0,Front-Wheel Drive,Power,5.2,Disc,Disc,170.0,13.2,"Tubeless, Radial",5.0,295.0,14.0,14.0,bangalore,9
0,SUV,10000.0,Manual,1,Tata,Tata Nexon,2022,9207,XM Plus S BSVI,1005000.0,2022,Third Party,Petrol,5.0,KA02,1199.0,14.0,10.0,11.0,23.0,11.0,17.33,118.35,170.0,Others,1.2l Turbocharged Revotron Engine,3.0,4.0,DOHC,MPFI,No,No,3993.0,1811.0,1606.0,2498.0,1458.0,1459.0,1315.0,6.0,Front-Wheel Drive,Electric,5.1,Disc,Drum,154.19,11.64,"Tubeless, Radial",5.0,350.0,16.0,16.0,bangalore,9
0,Sedan,67000.0,Manual,2,Honda,Honda City,2016,1215,i VTEC V,775000.0,2016,Comprehensive,Petrol,5.0,KA53,1497.0,17.0,12.0,10.0,23.0,7.0,17.8,117.3,145.0,Brown,i VTEC Engine,4.0,4.0,SOHC,PGM-FI,No,No,4440.0,1695.0,1495.0,2600.0,1480.0,1465.0,1049.0,5.0,Front-Wheel Drive,Power,5.3,Disc,Drum,195.0,10.0,"Tubeless, Radial",4.0,510.0,15.0,15.0,bangalore,9
0,Sedan,100000.0,Automatic,3,BMW,BMW 5 Series,2011,5293,520d Sedan,2200000.0,2011,Third Party,Diesel,5.0,KA03,1995.0,19.0,12.0,12.0,27.0,6.0,18.48,177.0,35.7,White,In-Line Engine,4.0,4.0,DOHC,CRDi,No,Yes,4841.0,1846.0,1468.0,2888.0,1558.0,1581.0,1600.0,6.0,Front-Wheel Drive,Power,5.6,Ventilated Disc,Ventilated Disc,226.0,8.3,"Tubeless, Radial",4.0,520.0,17.0,17.0,bangalore,9
0,Hatchback,18083.0,Manual,1,Maruti,Maruti Swift,2016,10403,VXI,582000.0,2016,Comprehensive,Petrol,5.0,KA04,1197.0,11.0,7.0,7.0,26.0,6.0,22.38,88.5,113.0,Silver,K Series Dual jet,4.0,4.0,DOHC,CRDI,No,No,3845.0,1735.0,1530.0,2450.0,1530.0,1530.0,890.0,5.0,Front-Wheel Drive,Electric,4.8,Disc,Drum,155.0,14.8,"Radial, Tubeless",5.0,268.0,14.0,14.0,bangalore,9
0,SUV,30000.0,Manual,1,Renault,Renault Duster,2020,7703,RXS,1090000.0,2020,Third Party,Petrol,5.0,KA01,1498.0,15.0,10.0,11.0,23.0,11.0,16.42,104.55,142.0,Others,1.5L Petrol,4.0,4.0,DOHC,MPFI,No,No,4360.0,1822.0,1695.0,2673.0,1560.0,1567.0,1315.0,5.0,Front-Wheel Drive,Power,5.2,Disc,Drum,168.0,12.5,"Tubeless, Radial",5.0,475.0,16.0,16.0,bangalore,9
0,Hatchback,57634.0,Manual,2,Tata,Tata Tiago,2016,2983,1.2 Revotron XZ,457000.0,2016,Comprehensive,Petrol,5.0,KA05,1199.0,14.0,12.0,13.0,24.0,8.0,23.84,84.0,114.0,Silver,Revotron Engine,3.0,4.0,DOHC,MPFI,No,No,3746.0,1647.0,1535.0,2400.0,1400.0,1420.0,1012.0,5.0,Front-Wheel Drive,Power,4.9,Disc,Drum,150.0,14.3,Tubeless,5.0,242.0,14.0,14.0,bangalore,9
0,Sedan,110000.0,Manual,1,Honda,Honda City,2015,1279,i VTEC V,550000.0,2015,Third Party,Petrol,5.0,HR26,1497.0,17.0,10.0,8.0,23.0,4.0,17.4,117.3,145.0,Others,i VTEC Engine,4.0,4.0,SOHC,PGM-FI,No,No,4440.0,1695.0,1495.0,2600.0,1480.0,1465.0,1049.0,5.0,Front-Wheel Drive,Power,5.3,Disc,Drum,195.0,10.0,"Tubeless, Radial",4.0,510.0,15.0,15.0,bangalore,9
0,Hatchback,23447.0,Automatic,1,Hyundai,Hyundai Santro,2018,6670,Sportz AMT BSIV,570000.0,2018,Comprehensive,Petrol,5.0,KA04,1086.0,13.0,8.0,9.0,23.0,7.0,20.3,68.0,99.0,Yellow,1.1 litre Petrol Engine,4.0,3.0,DOHC,MPFI,No,No,3610.0,1645.0,1560.0,2400.0,1463.0,1481.0,1050.0,5.0,Front-Wheel Drive,Power,4.4,Disc,Drum,165.0,12.36,"Tubeless, Radial",5.0,235.0,13.0,13.0,bangalore,9
0,Hatchback,30000.0,Manual,2,Hyundai,Hyundai Santro Xing,2009,1712,GLS LPG,220000.0,2009,Third Party,LPG,5.0,KA03,1086.0,8.0,6.0,6.0,16.0,4.0,13.45,62.1,96.1,Others,Bifuel Engine,3.0,4.0,SOHC,MPFI (LPG),No,No,3565.0,1525.0,1590.0,2380.0,1315.0,1300.0,845.0,5.0,Front-Wheel Drive,Power,4.4,Ventilated Disc,Drum,141.0,16.2,"Tubeless, Radial",5.0,218.0,13.0,13.0,bangalore,9
0,Sedan,33000.0,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,7578,Exclusive E 200,4145000.0,2017,Comprehensive,Petrol,5.0,KA05,1991.0,31.0,15.0,13.0,37.0,9.0,15.0,194.4,300.0,White,In-Line Petrol Engine,4.0,4.0,DOHC,Direct Injection,Yes,No,5063.0,1860.0,1494.0,3079.0,1595.0,1597.0,1585.0,9.0,Rear-Wheel Drive,Electric,6.0,Ventilated Disc,Disc,236.0,8.0,"Tubeless, Radial",4.0,540.0,17.0,17.0,bangalore,9
0,SUV,87667.0,Manual,2,Mahindra,Mahindra XUV500,2014,3822,W6 2WD,861000.0,2014,Third Party,Diesel,7.0,KA04,2179.0,17.0,10.0,11.0,20.0,4.0,15.1,140.0,330.0,Black,mHawk Diesel Engine,4.0,4.0,DOHC,Direct Injection,Yes,No,4585.0,1890.0,1785.0,2700.0,1458.0,1459.0,1900.0,6.0,Front-Wheel Drive,Power,5.6,Disc,Disc & Caliper Type,175.0,12.5,"Tubeless, Radial",5.0,720.0,17.0,17.0,bangalore,9
0,Sedan,40000.0,Automatic,2,Audi,Audi A4,2016,12,35 TDI Premium,1785000.0,2016,Third Party,Diesel,5.0,KA51,1968.0,20.0,13.0,12.0,30.0,8.0,17.11,174.33,380.0,Others,TDI Diesel Engine,4.0,4.0,DOHC,CRDI,Yes,No,4701.0,2040.0,1427.0,2808.0,1564.0,1551.0,1595.0,8.0,Front-Wheel Drive,Power,5.8,Ventilated Disc,Disc,222.0,7.9,"Tubeless, Radial",4.0,480.0,16.0,16.0,bangalore,9
0,SUV,79012.0,Manual,2,Mahindra,Mahindra XUV500,2014,3823,W8 2WD,803000.0,2014,Comprehensive,Diesel,7.0,KA51,2179.0,17.0,11.0,12.0,22.0,6.0,15.1,140.0,330.0,Silver,mHawk Diesel Engine,4.0,4.0,DOHC,Direct Injection,Yes,No,4585.0,1890.0,1785.0,2700.0,1458.0,1459.0,1940.0,6.0,Front-Wheel Drive,Power,5.6,Disc,Disc & Caliper Type,175.0,12.5,"Tubeless, Radial",5.0,720.0,17.0,17.0,bangalore,9
0,SUV,31344.0,Manual,1,Jeep,Jeep Compass,2021,8320,Model S Diesel BSVI,2565000.0,2021,Comprehensive,Diesel,5.0,KA05,1956.0,25.0,13.0,23.0,38.0,13.0,17.1,167.67,350.0,Black,2.0L Multijet Diesel,4.0,4.0,DOHC,CRDI,Yes,No,4405.0,1818.0,1640.0,2636.0,1458.0,1459.0,1650.0,6.0,4x2,Power,5.5,Disc,Disc,186.69,9.99,"Tubeless, Radial",5.0,408.0,18.0,18.0,bangalore,9
0,Sedan,50000.0,Manual,1,Hyundai,Hyundai Xcent,2018,5785,1.2 VTVT SX,674000.0,2018,Third Party,Petrol,5.0,KA03,1197.0,21.0,10.0,12.0,29.0,7.0,20.14,81.86,113.75,Others,1.2L Kappa Dual VTVT Petrol,4.0,4.0,DOHC,MPFI,No,No,3995.0,1660.0,1520.0,2425.0,1479.0,1493.0,1140.0,5.0,Front-Wheel Drive,Power,4.7,Disc,Drum,172.0,14.2,Tubeless,4.0,407.0,14.0,14.0,bangalore,9
0,Hatchback,12434.0,Manual,1,Maruti,Maruti Wagon R,2015,4310,VXI BS IV,349000.0,2015,Comprehensive,Petrol,5.0,WB38,998.0,11.0,10.0,11.0,17.0,6.0,20.51,67.04,90.0,Brown,K10B Petrol Engine,3.0,4.0,DOHC,MPFI,No,No,3599.0,1495.0,1700.0,2400.0,1295.0,1290.0,885.0,5.0,Front-Wheel Drive,Power,4.6,Ventilated Disc,Drum,152.0,18.6,Tubeless,5.0,180.0,13.0,13.0,bangalore,9
0,MUV,60000.0,Manual,2,Maruti,Maruti Ertiga,2019,6701,ZXI Plus Petrol,1050000.0,2019,Third Party,Petrol,7.0,KA53,1462.0,19.0,12.0,13.0,27.0,9.0,19.34,103.0,138.0,Others,K15 Smart Hybrid,4.0,4.0,DOHC,MPFI,No,No,4395.0,1735.0,1690.0,2740.0,1510.0,1520.0,1170.0,5.0,Two-Wheel Drive,Power,5.2,Ventilated Disc,Drum,160.0,13.3,"Tubeless, Radial",5.0,209.0,15.0,15.0,bangalore,9
0,Sedan,12000.0,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2019,6598,Progressive C 220d,4425000.0,2019,Comprehensive,Diesel,5.0,KA51,1950.0,32.0,16.0,14.0,34.0,10.0,12.6,194.0,400.0,White,In-Line Engine,4.0,4.0,DOHC,CRDi,Yes,No,4686.0,2020.0,1442.0,2840.0,1588.0,1588.0,1655.0,9.0,Rear-Wheel Drive,Power,5.61,Disc,Disc,240.0,6.9,"Tubeless, Radial",4.0,480.0,17.0,17.0,bangalore,9
0,Hatchback,40987.0,Manual,2,Maruti,Maruti Wagon R,2015,4310,VXI BS IV,406000.0,2015,Comprehensive,Petrol,5.0,KA53,998.0,11.0,10.0,11.0,17.0,6.0,20.51,67.04,90.0,White,K10B Petrol Engine,3.0,4.0,DOHC,MPFI,No,No,3599.0,1495.0,1700.0,2400.0,1295.0,1290.0,885.0,5.0,Front-Wheel Drive,Power,4.6,Ventilated Disc,Drum,152.0,18.6,Tubeless,5.0,180.0,13.0,13.0,bangalore,9
0,Sedan,18157.0,Automatic,1,BMW,BMW 5 Series,2020,7582,530i Sport,4965000.0,2020,Zero Dep,Petrol,5.0,KA51,1998.0,30.0,15.0,20.0,36.0,13.0,15.56,248.08,350.0,Blue,TwinPower Turbo Inline 4 Cylinder Engine,4.0,4.0,DOHC,MPFI,Twin,No,4936.0,2126.0,1466.0,2975.0,1605.0,1630.0,1675.0,8.0,Rear-Wheel Drive,Power,5.6,Ventilated Disc,Ventilated Disc,250.0,6.1,"Tubeless, Runflat",4.0,520.0,18.0,18.0,bangalore,9
0,SUV,120000.0,Manual,3,Toyota,Toyota Fortuner,2011,2263,3.0 Diesel,1100000.0,2011,Third Party,Diesel,7.0,KA47,2982.0,17.0,13.0,16.0,24.0,7.0,11.5,171.0,343.0,Others,4 Cylinders In-line,4.0,4.0,DOHC,CRDI,Yes,No,4695.0,1840.0,1850.0,2750.0,1540.0,1540.0,1955.0,5.0,Four-Wheel Drive,Power,5.9,Ventilated Disc,Drum,176.0,9.6,"Tubeless, Radial",5.0,296.0,17.0,17.0,bangalore,9
0,SUV,40000.0,Automatic,2,Renault,Renault Duster,2020,7022,RXZ 110PS AMT BSIV,1100000.0,2020,Third Party,Diesel,5.0,KA51,1461.0,16.0,10.0,12.0,25.0,21.0,19.87,108.5,245.0,Others,1.3L Turbo Petrol Engine,4.0,4.0,DOHC,CRDI,No,No,4360.0,1822.0,1695.0,2673.0,1560.0,1567.0,1375.0,6.0,Front-Wheel Drive,Power,5.2,Disc,Drum,168.0,12.5,Radial,5.0,475.0,16.0,16.0,bangalore,9
0,Hatchback,89667.0,Manual,1,Hyundai,Hyundai i20,2016,1481,Sportz 1.2,594000.0,2016,Comprehensive,Petrol,5.0,KA19,1197.0,14.0,10.0,10.0,21.0,7.0,18.6,81.83,114.7,White,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3985.0,1734.0,1505.0,2570.0,1505.0,1503.0,1066.0,5.0,Front-Wheel Drive,Power,5.2,Disc,Drum,170.0,13.2,Tubeless,5.0,295.0,16.0,16.0,bangalore,9
0,Hatchback,120000.0,Manual,1,Hyundai,Hyundai i20,2017,1610,Asta Option 1.4 CRDi,710000.0,2017,Third Party,Diesel,5.0,KA05,1396.0,18.0,11.0,12.0,27.0,7.0,22.54,88.73,219.7,Others,U2 CRDI Diesel Engine,4.0,4.0,DOHC,CRDI,Yes,No,3985.0,1734.0,1505.0,2570.0,1505.0,1503.0,1515.0,6.0,Front-Wheel Drive,Power,5.2,Disc,Drum,180.0,11.9,Tubeless,5.0,295.0,16.0,16.0,bangalore,9
0,Hatchback,56997.0,Manual,1,Maruti,Maruti Baleno,2017,3969,1.2 Zeta,692000.0,2017,Zero Dep,Petrol,5.0,KA03,1197.0,13.0,12.0,13.0,27.0,8.0,21.4,83.1,115.0,Blue,VVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3995.0,1745.0,1510.0,2520.0,1505.0,1515.0,880.0,5.0,Front-Wheel Drive,Power,4.9,Disc,Drum,180.0,12.36,"Tubeless, Radial",5.0,339.0,16.0,16.0,bangalore,9
0,Sedan,120000.0,Manual,1,Hyundai,Hyundai Elantra,2013,1471,SX,650000.0,2013,Third Party,Petrol,5.0,KA41,1797.0,17.0,11.0,9.0,27.0,4.0,16.3,147.5,177.5,Others,Dual VTVT Petrol Engine,4.0,4.0,DOHC,Multipoint Injection,No,No,4530.0,1775.0,1470.0,2700.0,1569.0,1582.0,1329.0,6.0,Front-Wheel Drive,Power,5.3,Disc,Disc,191.0,12.07,"Tubeless, Radial",4.0,420.0,16.0,16.0,bangalore,9
